time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.66628800008e-05,9.40601800052e-06,10.0045063924,0.00255338452171,0.00945258699926,0.0,-0.00222111807562,0.000575097076709,0.150201178283,0.0163455781432,0.0325008943488,0.0,451.7063255593931,454.3191976726316,451.4257703656422,452.7425012100075
0.12000000000000001,-0.000373945102001,0.000102253955734,10.0164193637,0.00395476696789,0.0121240309236,0.0,-0.00928437540428,0.00267058135699,0.246878036851,0.00794015438769,0.0406819341585,0.0,435.38829694833555,436.0726766679006,436.4033008483806,435.7011498962269
0.18,-0.00123361673117,0.00035601904592,10.0354442893,0.0054921502305,0.0209035781967,0.0,-0.0203501664095,0.00596758216196,0.38723262942,-0.00460690204818,0.0118760613683,0.0,450.9416215028461,448.60945093514147,449.99870176021244,448.9819983442918
0.23999999999999996,-0.00294432824507,0.000840964006893,10.0639301712,0.0056120109663,0.0236607981777,0.0,-0.0369675965819,0.0102196488745,0.562219704416,-0.0128063734091,0.0263858510522,0.0,459.51079803831294,460.6593344277622,460.8788442151375,460.2305341096013
0.3,-0.00562960715804,0.00156369306135,10.0994695783,0.0055340423669,0.025391406756,0.0,-0.0527127822389,0.0138735974371,0.62239149655,-0.0231873637444,0.0208113733756,0.0,425.1298517700348,424.6521310017984,424.520235959247,423.62873760315716
0.36000000000000004,-0.00948548170243,0.00258047512653,10.1439291212,0.0152339138204,0.0399185044825,0.0,-0.0775417946278,0.0212501993672,0.859381023226,-0.0608892390906,0.0595467863422,0.0,477.96520732791635,480.9083098483634,479.89277497043895,477.02223230751883
0.4200000000000001,-0.0150527364635,0.00417345059305,10.1993643269,0.0128950236185,0.0541502341104,0.0,-0.109505692203,0.0315857632267,0.988292217487,-0.0494730560415,0.0941305887778,0.0,445.9299575783562,448.74968265748095,446.182353893106,447.1110619261648
0.48000000000000015,-0.0227742878438,0.0063240415218,10.2615445134,0.0105355563937,0.0643590813441,0.0,-0.148887973231,0.0398519257189,1.08423602603,-0.0420413683245,0.116355623453,0.0,436.3233289957235,438.18378945025904,436.4283619746114,437.04676869111745
0.5400000000000001,-0.0332471910076,0.00897043396443,10.3321345115,0.0134737192194,0.0749786642485,0.0,-0.201390465958,0.0486665470663,1.26848761348,-0.0176150286544,0.136084015587,0.0,464.01663021713966,465.5755935149149,463.45882141012373,465.37403383412425
0.6000000000000002,-0.0470791023321,0.0121990251281,10.4133890746,0.0140026612415,0.083218044426,0.0,-0.26058395838,0.0589945593506,1.43971755287,-0.00496798022171,0.13810225637,0.0,461.31866369606615,461.49453288620754,460.6518999560169,461.65090926094473
0.6600000000000003,-0.0645374826847,0.0160381425306,10.5035640254,0.0137311554525,0.0915076420929,0.0,-0.322226988679,0.068947196269,1.56586454001,-0.00831938823193,0.138264306122,0.0,448.75061384744134,448.7812580457047,447.48218096963626,447.2094058441583
0.7200000000000003,-0.0860448623476,0.0205052496838,10.6030579647,0.0167886526496,0.101253967577,0.0,-0.395794987507,0.080278389903,1.75020842706,0.0111746028972,0.123815864841,0.0,466.759566421505,465.6462386376917,465.8202413602938,467.34206569125996
0.7800000000000004,-0.111912134993,0.0256669207582,10.7106201213,0.0184964652635,0.117657357121,0.0,-0.468105077943,0.0919317615809,1.83486239629,0.0211960002108,0.0897765357056,0.0,438.34978540564873,435.523736451146,435.4553503723233,436.2927051609401
0.8400000000000004,-0.142241107567,0.031541277623,10.8218300275,0.0219765622929,0.123252718413,0.0,-0.543382199895,0.104185827231,1.87198572784,0.0363188961407,0.0834287865807,0.0,422.02141809440843,421.4800227153655,420.6791489943814,421.9867422842884
0.9000000000000005,-0.177507467038,0.0382682311728,10.9377326627,0.0242191133217,0.130286180509,0.0,-0.63286486276,0.120278015471,1.99111103368,0.0321103181433,0.0978733409843,0.0,447.90132527673495,449.08086527351355,448.34459802693664,448.0030635172824
0.9600000000000005,-0.218399922945,0.0460426920457,11.0615914468,0.030404685636,0.136219299701,0.0,-0.730831686364,0.139510531151,2.13711550757,0.0535489045893,0.0996269910527,0.0,457.454137361173,457.60177040436986,456.36154564724444,458.0702453867428
1.0200000000000005,-0.265501513264,0.0551724392129,11.1956105244,0.0414959947378,0.142543707869,0.0,-0.83990115155,0.16604647063,2.32962379753,0.0831193882273,0.104988066066,0.0,472.92479325210036,473.34574580117,470.3375948129008,472.62485174775026
1.0800000000000005,-0.318469270031,0.0658876466079,11.3354195496,0.0471566390964,0.14915981443,0.0,-0.926273211824,0.191608879946,2.33053132273,0.0909885218126,0.110069123191,0.0,413.2160644219095,413.6746445320049,411.28490412509404,411.98795513849177
1.1400000000000006,-0.376824708642,0.078259315694,11.4757520251,0.0526741481938,0.158502498731,0.0,-1.01976694817,0.221262057245,2.34697860317,0.0926905471205,0.0907007401223,0.0,419.7504751916468,418.076412842146,417.4110033267155,417.5671475023488
1.2000000000000006,-0.441256618438,0.0926255870574,11.6189330586,0.0625488347449,0.16456666019,0.0,-1.12855788685,0.258549872478,2.42534515472,0.114272176813,0.0807769258218,0.0,439.4739224656052,438.6570560885841,438.3093352166367,440.107989958487
1.2600000000000007,-0.512518718025,0.109497656104,11.767865565,0.0730680035638,0.169563882262,0.0,-1.24734346699,0.304898385471,2.53859210782,0.134070965777,0.0751589782839,0.0,451.3604632195948,450.91173375830493,450.1694164821844,451.78159037331244
